"Example","Configuration","ExitCode","Status","Notes"
"aot_compiler_example.exe","Debug","0","PASS","exit 0"
"console_logging_example.exe","Debug","0","PASS","exit 0"
"core_only_example.exe","Debug","0","PASS","exit 0"
"coroutine_example.exe","Debug","0","PASS","exit 0"
"custom_methods_example.exe","Debug","0","PASS","exit 0"
"debug_context.exe","Debug","0","PASS","exit 0"
"input_validator_example.exe","Debug","0","PASS","exit 0"
"loop_example.exe","Debug","0","PASS","exit 0"
"luabridge3_basic_example.exe","Debug","0","PASS","exit 0"
"macro_example.exe","Debug","0","PASS","exit 0"
"memory_pool_example.exe","Debug","0","PASS","exit 0"
"multi_object_example.exe","Debug","0","PASS","exit 0"
"no_globals_example.exe","Debug","0","PASS","exit 0"
"parent_child_example.exe","Debug","0","PASS","exit 0"
"performance_test.exe","Debug","0","PASS","exit 0"
"repl_example.exe","Debug","N/A","SKIPPED","Interactive example, not run"
"sandbox_example.exe","Debug","0","PASS","exit 0"
"simple_example.exe","Debug","0","PASS","exit 0"
"timeout_executor_example.exe","Debug","0","PASS","exit 0"
"typed_example.exe","Debug","0","PASS","exit 0"
"workflow_bubble_up.exe","Debug","0","PASS","exit 0"
"aot_compiler_example.exe","Release","0","PASS","exit 0"
"console_logging_example.exe","Release","0","PASS","exit 0"
"core_only_example.exe","Release","0","PASS","exit 0"
"coroutine_example.exe","Release","0","PASS","exit 0"
"custom_methods_example.exe","Release","0","PASS","exit 0"
"debug_context.exe","Release","0","PASS","exit 0"
"input_validator_example.exe","Release","0","PASS","exit 0"
"loop_example.exe","Release","0","PASS","exit 0"
"luabridge3_basic_example.exe","Release","0","PASS","exit 0"
"macro_example.exe","Release","0","PASS","exit 0"
"memory_pool_example.exe","Release","0","PASS","exit 0"
"multi_object_example.exe","Release","0","PASS","exit 0"
"no_globals_example.exe","Release","0","PASS","exit 0"
"parent_child_example.exe","Release","0","PASS","exit 0"
"performance_test.exe","Release","0","PASS","exit 0"
"repl_example.exe","Release","N/A","SKIPPED","Interactive example, not run"
"sandbox_example.exe","Release","0","PASS","exit 0"
"simple_example.exe","Release","0","PASS","exit 0"
"timeout_executor_example.exe","Release","0","PASS","exit 0"
"typed_example.exe","Release","0","PASS","exit 0"
"workflow_bubble_up.exe","Release","0","PASS","exit 0"
"fastrules_db_example.exe","Debug","0","PASS","exit 0"
"json_example_customer_rules.exe","Debug","0","PASS","exit 0"
"json_example_customer_validation_simple.exe","Debug","0","PASS","exit 0"
"json_example_customer_validation.exe","Debug","0","PASS","exit 0"
"json_example_dependency_rules.exe","Debug","0","PASS","exit 0"
"json_example_hierarchical_rules.exe","Debug","0","PASS","exit 0"
"xml_example_customer_rules.exe","Debug","0","PASS","exit 0"
"xml_example_customer_validation_simple.exe","Debug","0","PASS","exit 0"
"xml_example_customer_validation.exe","Debug","0","PASS","exit 0"
"xml_example_dependency_rules.exe","Debug","0","PASS","exit 0"
"xml_example_hierarchical_rules.exe","Debug","0","PASS","exit 0"
"fastrules_db_example.exe","Release","0","PASS","exit 0"
"json_example_customer_rules.exe","Release","0","PASS","exit 0"
"json_example_customer_validation_simple.exe","Release","0","PASS","exit 0"
"json_example_customer_validation.exe","Release","0","PASS","exit 0"
"json_example_dependency_rules.exe","Release","0","PASS","exit 0"
"json_example_hierarchical_rules.exe","Release","0","PASS","exit 0"
"xml_example_customer_rules.exe","Release","0","PASS","exit 0"
"xml_example_customer_validation_simple.exe","Release","0","PASS","exit 0"
"xml_example_customer_validation.exe","Release","0","PASS","exit 0"
"xml_example_dependency_rules.exe","Release","0","PASS","exit 0"
"xml_example_hierarchical_rules.exe","Release","0","PASS","exit 0"
